"Title","Review"
"Terrific","no words to describe it's amazing feature it's just not phone it's revolutionary change that Xiaomi has done ever in indian smartphone industry. I luckily got this in 8th flash sale 6gb black variant it's so fast and smooth.camera is also the best part of this phone both front and rear camera   is capable of taking great shots with enough details. processor is capable of what you have thrown on it just ready for that,also the best part of this phone is battery back up is really nice it's last..."
"Just wow!","Bought 6 GB ram version. I was unable to get 4Gb version due to heavy rush among customers. But now I feel very good when got 6GB one. Because RAM means a lot. Price could be little lower. Phone is awesome. Nothing can be better at this price. It has almost everything which we need. Amazing display quality,  amazing battery backup, quick charging takes almost 2hours to be fully charged. Lots of specific features are there. Camera of this phone killer one. What a perfection. Clear with bokeh e..."
"Terrific purchase","Please read complete review so it might be helpful for someone.  Recently bought Redmi Note 5 Pro 6GB RAM variant (coz I always wanted to buy that phone even in the market best options are available). Like everyone,  I was also confused between which phone to buy? ( specially Nokia 6.1 Plus, Honor, etc..) but I made my mind up and purchased this beast. Pros:  1. As previous MI user I went for Pro 5 which helps me to restore all data as it is in new model.  2. Superb Performance (6GB) RA..."
"Good","A COMPLETE PACKAGE!!!!THIS REVIEW IS PURLY WRITTEN BY ME AND IS NOT COPIED. SO READ CAREFULLY1) IN BOX CONTENT:- We get headset, soft case and charger which of course is not a fast charger, company should include it as the phone support fast charging but still.2) PHYSICAL OVERVIEW:- The phone looks premium and slim the inhand feeling of this phone is also good. I would suggest you to buy gold color as it looks more premium and is not finger print magnet.3) DISPLAY:- It comes with an 1..."
"Wonderful","Awesome Phone....it's too fast and also have Android one stock tricks u can apply it....battery improved by Google and backup is good now...best choice for u buy it...and camera is awesome....like u r using a DSLR...u can use it is good phone...and also a best choice for u"
"Wonderful","Very good package from Flipkart got intact. And the phone is really awesome and this one i have gifted to my father and he is so happy that i cant tell you  shared some emotions bye the way bye guyz."
"Must buy!","The first shipment was defective. Phone used to switch off in few minutes on its own, every now and then.Went through Flipkart's call center procedure, which was less comfortable. They were asking to uninstall Apps and do factory reboot. It doesn't make zense, when the phone switches off within few minutes! How can anyone install Apps or do factory reboot when phone doesn't turn ON even for few minutes !! But, call center guys didn't quite understand this.Any way, finally they arranged fo..."
"Really Nice","one of the best mobile based on this price.. i got 12k from filpkart..Please see my below experience on this mobile.1. Camera is best quality from front and back sides,even the rating also awesome from user..2. Performance is 6 gb ram. it very fast to accessing to apps and within Milli seconds we can able to see the processor and RAM effects.3.brighness also fine no issues.4.charging is little bit concern,, most of them is not satisfied for battery performance. why because 3000mah and pro..."
"Terrific","Good one Pros : best camera            Good performance           Good display           Best software supportCons: smaller battery           Some sort of heating"
"Very Good","I can recommend to buy this.Pros:Good design,better camera,better performance,decent batteryCons:No dedicated slot for audio jack, battery back up could have been better,no slot for SD card,sometimes gets heated.But overall experience it's worth to buy as it available in exchange offer."
"Great product","Excellent product. Good delivery with exchange. Got upgraded to Pie immediately. Adaptive brightness problem will get solved through ai enabled mechanism. FP scanner has a great utility of swipe function. TPU case is good and a must. Good for people who don't like that notch on the display. SD660 works efficiently at 6/128 version."
"Utterly Disappointed","No support available and phone always hangs.. please go for other phone model, other dealer.Filpkart good in delivery but providing support information of item(S) is very bad."
"Good quality product","Great Mobile, Value for money, I liked everything Except No Face recognition. Battery is Above Average but without internet usage, it would stay for more than 24hours. Android One Awesome. This is my Second Week. I am loving it."
"Highly recommended","The cover supplied with the mobile is great but I had to buy one that gives protection to the camera lens bump. This should be looked into in future packages. Also the battery could have been bigger like in your other mobiles. A very good device otherwise."
"Wonderful","Awesome Phone....it's too fast and also have Android one stock tricks u can apply it....battery improved by Google and backup is good now...best choice for u buy it...and camera is awesome....like u r using a DSLR...u can use it is good phone...and also a best choice for u"
"Wonderful","Very good package from Flipkart got intact. And the phone is really awesome and this one i have gifted to my father and he is so happy that i cant tell you  shared some emotions bye the way bye guyz."
"Must buy!","The first shipment was defective. Phone used to switch off in few minutes on its own, every now and then.Went through Flipkart's call center procedure, which was less comfortable. They were asking to uninstall Apps and do factory reboot. It doesn't make zense, when the phone switches off within few minutes! How can anyone install Apps or do factory reboot when phone doesn't turn ON even for few minutes !! But, call center guys didn't quite understand this.Any way, finally they arranged fo..."
"Really Nice","one of the best mobile based on this price.. i got 12k from filpkart..Please see my below experience on this mobile.1. Camera is best quality from front and back sides,even the rating also awesome from user..2. Performance is 6 gb ram. it very fast to accessing to apps and within Milli seconds we can able to see the processor and RAM effects.3.brighness also fine no issues.4.charging is little bit concern,, most of them is not satisfied for battery performance. why because 3000mah and pro..."
"Terrific","Good one Pros : best camera            Good performance           Good display           Best software supportCons: smaller battery           Some sort of heating"
"Very Good","I can recommend to buy this.Pros:Good design,better camera,better performance,decent batteryCons:No dedicated slot for audio jack, battery back up could have been better,no slot for SD card,sometimes gets heated.But overall experience it's worth to buy as it available in exchange offer."
"Great product","Excellent product. Good delivery with exchange. Got upgraded to Pie immediately. Adaptive brightness problem will get solved through ai enabled mechanism. FP scanner has a great utility of swipe function. TPU case is good and a must. Good for people who don't like that notch on the display. SD660 works efficiently at 6/128 version."
"Utterly Disappointed","No support available and phone always hangs.. please go for other phone model, other dealer.Filpkart good in delivery but providing support information of item(S) is very bad."
"Good quality product","Great Mobile, Value for money, I liked everything Except No Face recognition. Battery is Above Average but without internet usage, it would stay for more than 24hours. Android One Awesome. This is my Second Week. I am loving it."
"Highly recommended","The cover supplied with the mobile is great but I had to buy one that gives protection to the camera lens bump. This should be looked into in future packages. Also the battery could have been bigger like in your other mobiles. A very good device otherwise."
"Great product","awesome mobile and user friendly highly compatible Google camera and night vision pictures are simply awesome....but display is to be improved"
"Really Nice","I Purchased this device 20 days ago and From that Day I am using it all the way I can. I am Gaming on this , Clicking Pictures From This and Also I have tested all the basics of the Phone. At first I want to say At this Price Point this is one of the best build smartphone you can buy. This feels very premium in hand. I have Bought the More Than white Color Version and The rainbow effect adores me so much. I want to thanks Xiaomi For providing such great caliber camera in this device. For a pe..."
"Fair","nicy mobile for middle class man and performance are good battery back up good as 4k mah . best cellphone I like it. Thank you flipkart. Nice job and please expand your delivery area as village also to have a better performance."
"Worst experience ever!","the camera , Android one, brightness are all good .I gave one star for the error in the speaker of redmi a3 ...out of 2 speaker one works other is just to fool around...which why I don't think this could be a valuable thing to buy or assure yo buy for ...,it's like a pixel in redmi ...and other functions are byfar good"
"Super!","First of all i would like to thanks flipkart to Give me a better offer to exchange my phone. and thanks again @flipkart! because your packing and calling response are too good. Second World No 1 Selling Brand & My First time favorite Phone @Mi Seriously I'm loving it. This phone is too good. Camera quality are too much gorgeous. You can go and checked it because I'm Shayad some views. Night Mood, Portrait mood, 48 MP, And Normal mood. Thanks Xiaomi And Thanks Flipkart."
"Wonderful","I am a normal user. in that sense that device performance is good. not played any big games so can't say how's it perform . but camera performance is really good so as soon battery. so overall it's a good buy. so I will recommended this phone for sure. I have added few pictures taken by it. :)"
"Mind-blowing purchase","perfect device at this price point but display could be better HD+ display is ok , but if u look closely you could see pixels thanks to amoled display that make it up a little , so FHD display makes it a perfect combo at this price point , although this phone is great, games can be played in medium graphics it can handle pretty much everything and andriod one is the icing at the top , if a person having a budget around less than 15k than he should go for it."
"Classy product","Best Mobile phone ever awesome android one and speed is so good I like the user interface"
"Wonderful","I've been using the phone for the last few days and I can assure you that as far as look and camera is concerned it is one of the best phone and looks premium and not like any ordinaryphone. Battery backup is also good and thought display is 720p yet thanks to sAmoled you wouldn't have any issued. Though the inbuilt fingerprint sensor is a little bit slow that is merely an issue for me. Size of the phone is perfect to use using one hand. plz, go for the colour ""kind of grey"". It's best!"
"Decent product","Design peaks, Software was Good. Waiting for Android 10 update. Display was good even it was only HD+ becoz it's an sAmoled display, battery life was good enough easily manage 1 day, cameras are good, Gcam works ultimate, Best value for money @ Rs. 11K to 12K."
"Mind-blowing purchase","Nice phone, I gifted this to my mom, she's very happy receiving it. Camera is quite good not like the high end ones but class at it's price, battery backup pretty nice, when she unpacked it the charge was 38% after that I had to get all the apps installed on the phone and restore the backed up images and many other things which took more than an hour and I was on Jio-Fi, the battery reduced to 29% after everything was done.The best thing I liked about this phone was the REMOTE APP, I was ab..."
"Perfect product!","superb phone display quality awesome battery backup good camera quality average phone speed superb body quality excellent"
"Nice","Everything is good but selfie camera is not yet all good and as u know it heats up due to heavy usage like games ....like pubg"
"Terrific","Best smartphone in this segment. Build quality is so good Full hd + screen speaker is loud n clear,gr8 battery life and performance is also decent. Camera is not that good bt not bad too. Perfect to buy go for it..."
"Highly recommended","This is the best mobile for your parents BECAUSE=1- it has 3 gb ram 2- it has a decent camera (front and back both)   Hence overall a best midrange smart phonesThank You "
"Worth every penny","very good mobile phone I bought this for my dad on his birthday"
"Good choice","Very nice "
"Mind-blowing purchase","Nice Mobile"
"Worth every penny","superb"
"Very Good","product is very nice.."
"Mind-blowing purchase","Nice phone, I gifted this to my mom, she's very happy receiving it. Camera is quite good not like the high end ones but class at it's price, battery backup pretty nice, when she unpacked it the charge was 38% after that I had to get all the apps installed on the phone and restore the backed up images and many other things which took more than an hour and I was on Jio-Fi, the battery reduced to 29% after everything was done.The best thing I liked about this phone was the REMOTE APP, I was ab..."
"Perfect product!","superb phone display quality awesome battery backup good camera quality average phone speed superb body quality excellent"
"Nice","Everything is good but selfie camera is not yet all good and as u know it heats up due to heavy usage like games ....like pubg"
"Terrific","Best smartphone in this segment. Build quality is so good Full hd + screen speaker is loud n clear,gr8 battery life and performance is also decent. Camera is not that good bt not bad too. Perfect to buy go for it..."
"Highly recommended","This is the best mobile for your parents BECAUSE=1- it has 3 gb ram 2- it has a decent camera (front and back both)   Hence overall a best midrange smart phonesThank You "
"Worth every penny","very good mobile phone I bought this for my dad on his birthday"
"Good choice","Very nice "
"Mind-blowing purchase","Nice Mobile"
"Worth every penny","superb"
"Very Good","product is very nice.."
"Brilliant","i am really happy for redmi Y2 phone , value of money evarything is good better, but it is not a full notch display otherwise redmi Y2 worth of money, good nice Better i am happy for that, finally thank you Flipkart for your care, customer satisfaction, fast delivery everything think is good no no not good, very very very good,keep it up Flipkart & keep moving"
"Perfect product!","awesome phone.enough battery life.Very good camera but couldn't find dual camera setting in this set .Shot with this phoneselfie cam is also too good.one of the best phone in the range"
"Good quality product","Pros: 1.Camera Features & quality2. Display resolution 3. Processing Speed4. Pre installed apps5. Not heating issue6. Glass quality is awesome without tempered glass7. Sound  is loud enough8. Front Flash gives decent selfies9. Dedicated slot of memory works 10. Although charger  is not fast charger but it's takes 1-1.1/2 hrs to 90% charged. Cos:1.Bettery is not enough for this 6 inches display,  draining so fast,  half day performance with full charge2. Using external memo..."
"Terrific purchase","very nice phone but phone is battery low . Good photos good phone Redmi has good company thanks for flipkart"
"Value-for-money","nice phone............Camera ratting 8/10#Front Camera 9/10#Back Camera 7/10Display 7/10Processor 8.5/10Body Plastic but like Metal. Good Quality. Latest MIUI VersionOver all very Good Phone as compare to other any Phone at this Price."
"Nice product","very nice phone in this price range and camera performs too good....but only is battery life is not so good...I am happy with this and camera is awesome like other mi phones...."
"Great product","I am using this product from 1 month... The phone is pretty good but the battery is not so good... camera quality is fabulous .. snapdragon 632 is over all good .."
"Best in the market!","nice  phone. user friendly  good  camera  and  battery backup. tottely amazing. love it."
"Awesome","I have been using this device since one month... found everything ok... perfect device at this price. worth for money jst go for it. Though the battery backup is a bit less but it won't brother you much since it supports fast charging"
"Wonderful","i really appreciate it.. I used all  Mi Y series Mobile and i realize that Y1 and Y2 is the best phone of the mi product.. also use Y1 phone without any single issue.. and now Y2 is in my Hand.. Y2 is really 100%Paisa wasool Phone.."
"Mind-blowing purchase","Nice phone, I gifted this to my mom, she's very happy receiving it. Camera is quite good not like the high end ones but class at it's price, battery backup pretty nice, when she unpacked it the charge was 38% after that I had to get all the apps installed on the phone and restore the backed up images and many other things which took more than an hour and I was on Jio-Fi, the battery reduced to 29% after everything was done.The best thing I liked about this phone was the REMOTE APP, I was ab..."
"Nice","Everything is good but selfie camera is not yet all good and as u know it heats up due to heavy usage like games ....like pubg"
"Perfect product!","superb phone display quality awesome battery backup good camera quality average phone speed superb body quality excellent"
"Terrific","Best smartphone in this segment. Build quality is so good Full hd + screen speaker is loud n clear,gr8 battery life and performance is also decent. Camera is not that good bt not bad too. Perfect to buy go for it..."
"Highly recommended","This is the best mobile for your parents BECAUSE=1- it has 3 gb ram 2- it has a decent camera (front and back both)   Hence overall a best midrange smart phonesThank You "
"Mind-blowing purchase","Nice Mobile"
"Worth every penny","superb"
"Very Good","product is very nice.."
"Classy product","Compact design and quality product. Flipkart is the best service provider."
"Terrific","love you redmi 6pro best phones "
"Delightful","mobile are good but back camera not gud but front camera super nice selfie and performance nice and i m happy to this"
"Great phone for less money.","Great phone for less money. Great in one word. Is in charge very soon. Camera pictures are great. However, the phone gets hot soon after playing the game."
"Excellent","Liked the phone, was just clicking selfie ever since, nice product, really nice battery backup, didn't play too much game on it so don't know, memory is good, everything fine"
"Must buy!","nice , its good front camera and good life of battery long lastingvery nice phone"
"Highly recommended","Very Good Mobile in good price range.  Nice service. Thank you flipkart."
"Terrific","a top class product in a reasonable price specially having a good selfie camera...however a nice phone for selfie lovers in a minimum price..!"
"Wonderful","Terrific product Received the product in time it working excellent the camera is extraordinary thank you flipkart"
"Nice product","At this price range the phone is amazing in camera, battery & performance. Those who love to take much selfies, this is the best one."
"Excellent","best phone in this price great selfie camera nd strong battery  worth buying"
"Slightly disappointed","delivery is very late front camera is very best and back camera is not good I am no I am not impressed"
"Terrific purchase","Value for the money battery and camera are good loom is also good overall a good phone in this budget..."
"Mind-blowing purchase","phone is Good in this price point. I use this phone while 15 days. but I never face any problem.1. phone camera is good in Daylight. Picture Quality is Nice. but in low light and night we doesn't capture a nice shot.2. The phone Procceser works really nice in normal Use. I say in normal use because I never use this phone for playing High Graphics games. I never face any heating issue for a while.3. This  phone has high power battery. It easily get overs a full day with quite heavy use."
"Terrific","Amazing Product! So far so good after 2 weeks of use. Smooth use. Great budget phone. Super fast with no lags. Cameras are pretty good for a phone at this price range. Add a 32 or 64 GB card and you are set to go!!!"
"Mind-blowing purchase","Nice product but performance is a bit low. Camera is good but the focus is not.....Battery backup is also good"
"Excellent","The Redmi Y1 Lite, an entry-level offering from Xiaomi is a scaled-down version of the similarly named Redmi Y1. The phone uses the Qualcomm Snapdragon 425 SoC that houses a quad core processor and comes in a single 2GB RAM + 16GB storage version. The phone supports dual SIM cards and has a dedicated, separate microSD card slot for additional storage capacity. The 3080 mAh battery is good for 35 hours of talk time and 11 days of standby time. The camera set up consists of a 13-megapixel unit ..."
"Great product","Thanks for flip kart Its very good product very fastly delivery im very happy.. Redmi y1 is very best phone battery camera and others are super very beautyfull slim phone  no weight im very happy"
"Delightful","Happy"
"Very Good","It's a great phone best for your parents,"
"Decent product","very nice"
"Highly recommended","it is excellent"
"Simply awesome","I am  mobile accessories  manufacturer. Since 6 to 7 years I was using only I phone due to my mind restrictions . After bought MI phone . I believe iphone is just waste of money . long battery backup , fast speed , Best camara . Easy to use . Really A best phone ."
"Value-for-money","nice mobile and good delivery. Ekart courier services is also good and delivery boy also supported person"
"Mind-blowing purchase","the delivery boy is a good person.  am fully satisfied about his dealing.  but am not satisfied about this product. am not received the item was I expected"
"Fabulous!","Great product by xiaomi and what a good service by flipkart that,s why we believe you my experience was just awesome don't think that much just go for it ."
"Terrific","wow so nice mobile very fast work nice game"
"Brilliant","now a day redmi is good brand name and provide us a good valuable mobile phone this on of them it's good camera , good battery life , awesome processor and many more ......"
"Really Nice","Best and Cheap phone in 5"" Screen category. Phone performance is good and battery capacity is enough as per phone size.just camera is not that good but at this price its Ok"
"Mind-blowing purchase","Nice phone works well better than note 5"
"Highly recommended","this phone is good fantastic but fingerprint scanner is not working properly other wise Redmi is good product mind blowing"
"Super!","Superb one for this price range.... Got the item  within One week of order ... Good battery backup ... The camera clarity is not up to the mark ...... but other specifications like ram & processor etc.... are excellent ....."
"Good choice","Hi Guys,  I am writing this review though I know thousands of us has already reviewed this phone and it's already a superstar in the category.  so only sharing My views and experience with the phone. I am actively using the phone since last 16 days and here is the experience. so lets start:1. Main USP of phone is it's Camera and yes MI note 7 pro is really a PRO in this area.  see the pics attached if you notice there are two pics of Buddha,  let me tell you there was no light difference w..."
"Nice product","Hello everyoneI am using this product for 2weeks and here are the things which I liked and the problems I faced1. If you are switching from a regular smartphone to the bezel less phone you might love this phone since it's having 6.3 inches IPS LCD capacitive touchscreen.2. Ads on MIUI are a bit irritating but it can be turned off when booting the phone for the first time.The ads however stays in some applications mainly those which are pre-installed and are non-removable.3. Redmi offers ..."
"Just wow!","astonished by the features I feel the product is underpriced due to the unique qualities it has.The camera in redmi note 7 pro is one of the Finest quality and love the pics taken from it. if you don't have high budget but still want the best camera phone, then this is one you must buy.The processor is very fast and display is full HD+ quality. In one word it's a Masterpiece guys. specially i love its night mode "
"Fabulous!","The phone is simply amazing. . the performance is great at the price range.. no lags nothing. Battery seems to average, lasts hardly a day. The camera is bit saturated. night mode is worse.Trust me it just some software issues.. google camera is mindblowing  in night mode. camera is still in beta i think.Mi team will fix the issues... But im statisfied with the phone. it does perform well in terms of camera than other phones. and has great performance abilities in terms of processing speeds.T..."
"Brilliant","extra ordinary mind blowing phone i ordered blue coloured phone and its look so glossy and stunning. Camera both front and back are perfect and awesome with both day and night conditions i got 6gb ram version phone after a long wait. Any way thanks to Xiaomi for making this budget friendly phones to us."
"Perfect product!","Just wow!!! From Mi4i to my all new classy Redmi Note 7 pro. Just amazing glossy design with beautiful gradient bluePurchased this mobile for the camera and Redmi has not let me down.  Rear camera has amazing details and you will get crisp detailed pictures. Night shots are also so natural and lovely. Am not a selfie lover,  so haven't tested the front camera yet. Snapdragon 675 works swifly enough with 6GB RAM and with 128G one need not worry about space.  Battery performance is su..."
"Classy product","just an amazing product u can check my last pic in which q mall is there if u zoom on that building u can clearly see the name of the building which is simply wow u can check my pics which I have uploaded... the pic which sky is captured u can easy visualize the star which is simply impossible for any general camera to capture such a tiny object like star to capture in the dark sky...u can also check the pic of the building in which u can clearly read the name written on in and j..."
"A great phone killed by an average selfie shooter","Again a new year a new phone. I skipped over 6 pro at it had not much to offer. But Note 7 Pro is a ultimate letdown, coming from Note 5 pro. Before you purchase you must consider the below cons -*** There is no refund policy. Hence once brought you cant get a refund. ***1. Front flash is gone. Your night selfies are a bust. That's the greatest bummer. Rather not have the water drop notch.2. Even if the flash is gone, the camera in the front should have been the same old 20 MP shooter. B..."
"Pretty good","I loved the detailing of the rear camera, the most important thing is that it supports Google Camera, which captures a far better and detailed images than the stock camera.(download google camera from 3rd party site). Got this 6gb variant after waiting for 1 month of sale...."
"Wonderful","Waited for this phone for about 3 months. and finally received today.  obviously I'm over excited for the phone. The phone is a good value for money as every body knows.  I always wanted to have a 128gb + 6gb option.  and this phone is best at this price. what I liked about the phone  1)notch which doesn't affect the notification area.  2)  notification led3) crisp display4)  Looks5) processor and ram ManagementI installed over 100 apps to check about the performance. though there were..."
"Wonderful","Good for Selfi. front camera is too good  Nice phone with back cover. Headphone not received. Happy with this product."
"Wonderful","mobile is looking so pretty and the selfie camera is awesome . battery backup is good and the connectivity of networks is very good in short the phone is awesome"
"Good quality product","It's a good Android phone. I bought it for my mother n she really likes it. Cameras are good, but the sound recorder is really terrible. It should be improved by the company through software updates. Other than these issues, phone is excellent, looks good, runs smoothly."
"Terrific purchase","good mobile thanks flipkart also thanks to mi mobiles, but prices are compare flipkart 12972/- and amezon 11999/- both are easily available any colour why prices deference I can't understand ."
"Really Nice","Very Nice.... Excellent"
"Fabulous!","litle bit heavy but its nice phone.."
"Must buy!","supper"
"Not good","price high by other side"
"Terrific","must 4 selfie loversothers go 4 realme"
"Worth every penny","wow"
"Must buy!","Only 3000 mah batterylooks good from outside finish, handy and feeling good1) mediatek heilo p22, not good as smooth as Snapdragon 450, lags from normal use2) battery capacity 3000mah, not satisfactory backup, needed improvement 3) HD plus display not vibrant as fhd, it will be better if company used fhd or fhd+3) average camera performance, portrait mode works very well4) MIUI version is old, need update as soon as possible. 5) no notch display, realme 2 gives it by spending only 1k6..."
"Best in the market!","Awesome Phone Received the phone before 24 hrs of order thanks Flipkart ,awesome battery backup,aswell as display,camera both rare and front are awesome aswell  as the portrait mood with AI works great and capture good photograph ,face unlock works perfectly in low light also , finger print scanner is very fast, overall good budget mid range phone ,go for it.."
"Delightful","good space ,well battery but doesn't show the % charging on the screen,both sim can be 4G at a time..that is nice in this range, touch is very smooth ,I will give 4.5 for touch, finger print working awesome,face lock is also nice , camera is ok but can't  compair with moto 12mp and 12+5mp MI ,as per my view for this range of 8000  ,it is too good quality camera with this much of other featured phone,now coming to overall look ,it is looking nice ,but those who want to use as rough and tough ..."
"Super!","Just after breaking the seal holding the phone for the first gives you an amazing feel. The device fits perfectly in hands, pretty light. Thanks to 18:9 aspect ratio. The display is crisp. I buy Xiaomi phones for MIUI only. Its buttery smooth. I don't know why people complain about it. The back of the phone looks gorgeous trust me. Though it has a plastic body but without touching it you can't distinguish its plastic or metal. Overall you can't get better than this. Go for it. Antutu score is..."
"Fabulous!","nice camera,  all over best mobile in this range...i m using M!  6 last 1 month... loved it.. great experience mi.. always i recommend buy products only on flipkart.. best product  save money"
"Just okay","totally disappointed because phone size is very very very very very very small this is not a good enough company people told that 5. 45 size but it is very very small small width is not satisfactory totally confusing customer regarding  width width this mobile purchase for my friend  I purchase for me I can return this product because we can spent another 2000/-. more we can get good & super anotherVERY GOOD mobile"
"Classy product","At this price segment this mobile is just Awsum. Superb camera Great Performance loud speaker &  powerful battery. Totally worth it. Value for money."
"Highly recommended","nice product good for daily use .worth the money.good camera and battery performance nice sounds good .but not a good choice for hard core gaming or game play .processor nice for battery saving but not got good for gaming .a nice choice for general use .thank you"
"Good quality product","camera quality is average...But in this price range only mi can provide dual camera at back side. portrait mode is available in both front & rear camera which is really impressive.Performance is good as provided 3 gb ram.Fingerprint sensor works fine & Face unlock takes less than a second to unlock.one thing that i miss in this phone is IR blaster which is available in all the mi phones...it is the signature part of all mi phones. But i dont know why it is missing in this phone.Display br..."
"Terrific purchase","nice mobile with awesome features at nominal price,very happy with the product,thanks for the super fast delivery ."
"Perfect product!","After using for one month  performance is good Battery life.   1.5 days with internet Use Redmi charger only Camera .. just ok.. good in daylight Finger sensor no issue... Hardware quality good and no heating issue Overall good. Recommended for persons who want lesser screen size compared to 6 inch screen.. Cons:: old android version upgradable to android 8"
"Highly recommended","yes it works very properly and it was awesome camera fantastic"
"Brilliant","Thanks Flipkart Very nice app and super prdocuts..."
"Nice product","good product"
"Super!","awesome phone"
"Great product","I got the phone today and it's performing well. It is a very a very fast delivery from flipkat."
"Classy product","great product"
"Good","Nice phone good looking ,slim, very fast processor."
"Great product","very nice"
"Wonderful","Discount do plz"
"Best in the market!","I ordered this mobile for my husband ,he liked a lot it's a very nice moddle look vise also it's too good , battery back up is good and camera quality is too good thank u Flipkart for delivery on time ."
"Classy product","Awesome need to buy all"
"Just wow!","It's good"
"Really Nice","I like it"
"Perfect product!","Super battery backup ....value of money and fastest delivery . .thank you Flipkart"
"Worth every penny","My lovely phone"
"Good","Product is good but camera is not good Overal ok"
"Mind-blowing purchase","Super phone quality Good  performanceSuper camera and batteryValue of money "
"Good choice","Nice products"
"Very Good","Good one, but the price is slightly high"
"Mind-blowing purchase","Just another awesome smartphone from xiaomi. The phone is just awesome the 64MP camera is just stunning and the fast charger is also awesome and TPU Case is of good quality. Thank you Flipkart for the quick delivery of my product. Keep it up and improve yourself more in the future."
"Good quality product","The product is good, all features in a package The camera lenses could have been improvised. More features for photography. Comfortable to use, set up was simple, messaging is easy. Typing is convenient. Basics in line. Would have given a 5 if camera was clearer with better lenses and the mobile weight lighter and slimmer configuration. Looking at the price value ratio, price is high for the value and benefits offered. Thanks"
"Best in the market!","Love it, worth it"
"Just wow!","Camera quality is awesome.."
"Excellent","Nice product.. Happy to buy"
"Super!","VALUE OF MONEY."
"Awesome","Nice phone worth purchasing  but need a camera update"
"Classy product","Wow "
"Just wow!","Good sarves"
"Highly recommended","Performance too good."
"Great product","awesome mobile and user friendly highly compatible Google camera and night vision pictures are simply awesome....but display is to be improved"
"Really Nice","I Purchased this device 20 days ago and From that Day I am using it all the way I can. I am Gaming on this , Clicking Pictures From This and Also I have tested all the basics of the Phone. At first I want to say At this Price Point this is one of the best build smartphone you can buy. This feels very premium in hand. I have Bought the More Than white Color Version and The rainbow effect adores me so much. I want to thanks Xiaomi For providing such great caliber camera in this device. For a pe..."
"Fair","nicy mobile for middle class man and performance are good battery back up good as 4k mah . best cellphone I like it. Thank you flipkart. Nice job and please expand your delivery area as village also to have a better performance."
"Worst experience ever!","the camera , Android one, brightness are all good .I gave one star for the error in the speaker of redmi a3 ...out of 2 speaker one works other is just to fool around...which why I don't think this could be a valuable thing to buy or assure yo buy for ...,it's like a pixel in redmi ...and other functions are byfar good"
"Pretty good","Review after 3 days use:I bought it after lot of research (and choosing between Nokia 6.1+/7.2/8.1, Mi Note 7s/7pro, Samsung m10s, Asus maxpro M1/M2, Moto one macro, etc, and specially for good speakers and lightweight close to 150g) and it has almost satisfied all my requirements.Only negative: screen has a greenish tinge. 720p is good really, and Amoled quality can be seen, but the greenish/yellowish excess is visible and irritating.Satisfied: excellent speaker quality, good speaker vo..."
"Very Good","this mobile are good front camera but back camera not good so this price range to nice mobile its white color so pretty i like this mobile in back sideperformance are good and udar interface change n i like this cell"
"Decent product","Design peaks, Software was Good. Waiting for Android 10 update. Display was good even it was only HD+ becoz it's an sAmoled display, battery life was good enough easily manage 1 day, cameras are good, Gcam works ultimate, Best value for money @ Rs. 11K to 12K."
"Mind-blowing purchase","perfect device at this price point but display could be better HD+ display is ok , but if u look closely you could see pixels thanks to amoled display that make it up a little , so FHD display makes it a perfect combo at this price point , although this phone is great, games can be played in medium graphics it can handle pretty much everything and andriod one is the icing at the top , if a person having a budget around less than 15k than he should go for it."
"Super!","First of all i would like to thanks flipkart to Give me a better offer to exchange my phone. and thanks again @flipkart! because your packing and calling response are too good. Second World No 1 Selling Brand & My First time favorite Phone @Mi Seriously I'm loving it. This phone is too good. Camera quality are too much gorgeous. You can go and checked it because I'm Shayad some views. Night Mood, Portrait mood, 48 MP, And Normal mood. Thanks Xiaomi And Thanks Flipkart."
"Wonderful","I am a normal user. in that sense that device performance is good. not played any big games so can't say how's it perform . but camera performance is really good so as soon battery. so overall it's a good buy. so I will recommended this phone for sure. I have added few pictures taken by it. :)"
"Brilliant","Worth for the price. Camera quality is not good but its ok for the price range. Overall good phone in the price range"
"Great product","Nice and impressive phone. Xiaomi better than samsung and apple combined becuase of MIUI. I am a design fanatic, Android Icons are so ugly, Mi looked into that and made something so awesome out of it!"
"Highly recommended","for more better experience Only on those Best budget Phone really an awesome smart phone under this costIlike this()"
"Excellent","The delivery was quick. thankyou flipkart for that. the product is awesome by the way. just like it was told. a beast. good device. recommended."
"Mind-blowing purchase","Increase RAM and camera quality, show natural picture, not support by any beauty plus and add more features in camera. Make AI and portrait mode more affective. Overall good in value of money."
"Decent product","nice"
"Just okay","camera and all are best but it's hanging aftr some time i dont know why. . may be some of my flirting with this"
"Highly recommended","Good product.... "
"Just wow!","very nice phone but camera clearity"
"Mind-blowing purchase","redmi 7 beat Mobile   and  good product "
"Highly recommended","Here is my first impressions after a few days of usage of Redmi Note 7S mobile phone. I bought 4GB of RAM and 64GB storage variant. Pros: * The build quality of the Redmi Note 7S is great considering its price. The overall fit and finish is impeccable and all the metal and glass does make the Note 7S look and feel in hands a more premium phone. * It has corning gorilla glass 5 protection at the front as well as back.* The display sports a full HD+ (1080x2340 pixels) resolution and has a ..."
"Wonderful","very good mobile,never expected like this good one from Xiaomi, thank you to Flipkart, delivery was good and the delivery person is ,so good"
